"title","price","rating","link"
"Bella Vita Luxury | Long Lasting Men Perfume Gift Set | 4x20ml | Perfume for Man | Gift for Man | Woody, Citrusy, Oud Premium Fragrance | KLUB, OUD, CEO, G.O.A.T","549","4.2 out of 5 stars",""
"Contraband Eau De Parfum - Hands Off | Leather, Oud and Amber Fragrance Notes | Intense & Long Lasting Spray Perfume For Men | 50 ml","2,475","4.2 out of 5 stars",""
"Legacy Woody Aromatic Fragrance Perfume | Eau de Parfum for Mens | Long-Lasting Luxury | Ideal Gift for All Occasions (30ml)","1,600","No rating",""
"Aqualogica Refresh+On the Go Set of 3 Perfume Body Mist|Travel Friendly|Long Lasting|Warm,Sweet & Floral Fragrance|Double Duty Mist for Hair & Body|Premium Gift Pack|For Unisex-Adult|20 ml x 3","465","4.0 out of 5 stars",""
"Bella Vita Luxury CEO MEN | Long Lasting | Perfume for Man | EDP 100ml | Lemon, Lavender, Tonka, Mandarin & Vetiver | Woody, Citrus Premium Fragrance | Ideal Gift for Man","474","4.1 out of 5 stars",""
"BELLAVITA CEO Man & White Oud Unisex | Long Lasting Perfume | Perfume for Man & Woman | EDP 2x20ml | Tonka, Agarwood & Orange | Woody, Spicy & Citrus Premium Fragrance","199","4.2 out of 5 stars",""
"Wild Stone Edge Edp Premium Perfume For Men,100 Ml|Long-Lasting Eau De Parfum|Luxury Fragrances|Fragrance For Modern Lifestyle|Ideal Gift For Him|Premium Scent For Men","349","4.2 out of 5 stars",""
"Bella Vita Luxury | Long Lasting Men Perfume Gift Set | 4x20ml | Perfume for Man | Gift for Man | Woody, Citrusy, Oud Premium Fragrance | KLUB, OUD, CEO, G.O.A.T","549","4.2 out of 5 stars",""
"Bella Vita Luxury | Perfume Gift Set for Women | Perfume for Woman | Gifts for Woman | Long Lasting EDP 4x20ml | Floral & Fruity Fragrance | Date, Senorita, Glam, Rose","549","4.4 out of 5 stars",""
"Wild Stone Edge Perfume for Men, 50ml","199","4.2 out of 5 stars",""
"VOKKA Thai Oud & Thai Aqua 200 Ml|Pack Of 2 X 100Ml Unique Luxury Long Lasting Woody Aquatic Perfume Gift Set For Unisex|Aquatic Scent Eau De Parfum|Edp Fragrance For Gift|Notes: Aqua Woody Musky","335","3.6 out of 5 stars",""
"Park Avenue Voyage Signature Collection | Liquid Perfume For Men | Fresh Long-Lasting Aroma Amazon Woods Premium Perfume | 120Ml","191","4.0 out of 5 stars",""
"Beardo Whisky Smoke Perfume for Men,50ml|Spicy,Woody-Oudh Scent Eau De Parfum|Long Lasting Mens Perfume|Best Date Night Fragrance Body Spray|Valentines day gift for husband|Gift for boyfriend","251","4.0 out of 5 stars",""
"BEARDO Godfather Perfume For Men, 100Ml | Aromatic, Spicy Perfume For Men Long Lasting Perfume For Date Night Fragrance | Body Spray For Men | Valentines Day Gift For Husband | Boyfriend","384","4.0 out of 5 stars",""
"Bella Vita Luxury Date & Senorita Women Long Lasting | Perfume for Woman | Gifts for Woman | EDP 2x20ml | Jasmine, Vanilla, Lotus & Musk | Floral, Fruity & Woody","199","4.4 out of 5 stars",""
"Carlton London Blush Eau de Parfum for Women | 100ml Long Lasting Limited Edition Perfume | Lavender, Jasmine, Musk & Sandalwood | Floral Fruity Luxury Fragrance | Gift for girls and women | Birthday Anniversary gift for Her","832","4.1 out of 5 stars",""
